;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
QUALIFICAÇÃO;NOME;GRAU;DECRETO;PORTARIA;;;
Gen Div;JOAQUIM ABREU FONSECA;Comendador;25/09/1979;;;;
Senhor;JOAQUIM AFFONSO MAC DOWELL LEITE DE CASTRO;Cavaleiro;07/10/1994;;;;
Doutor;JOAQUIM ALVES DA CRUZ RIOS JÚNIOR;Comendador;01/09/1987;;;;
V Alte;JOAQUIM AMÉRICO DOS SANTOS COELHO LOBO;Comendador;19/10/1970;;;;
Cel Med;JOAQUIM AMÉRICO FERREIRA BANDEIRA;Cavaleiro;21/10/2011;;;;
Presidente TRF 2ª Região;JOAQUIM ANTÔNIO CASTRO AGUIAR;Comendador;25/09/2008;;;;
Gen Bda;JOAQUIM ANTÔNIO DA FONTOURA RODRIGUES;Comendador;01/10/1975;;;;
Cel Int;JOAQUIM ANTÔNIO QUINTINO TAVEIRA;Cavaleiro;19/10/2010;;;;
Cel Av;JOAQUIM BAPTISTA PINHEIRO GRANDE;Oficial;17/09/1980;;;;
Ministro (STF);JOAQUIM BENEDITO BARBOSA GOMES;Grande-Oficial;20/09/2006;;;;
Cel Av;JOAQUIM BOANERGES AYRES GUIMARÃES;Oficial;20/09/1985;;;;
General;JOAQUIM BRILHANTE PAIVA;Comendador;19/08/1968;;;;
SO QSS SAD;JOAQUIM CARLOS PEREIRA DE FREITAS;Cavaleiro;16/09/1998;;;;
Senhor;JOAQUIM DA SILVA CABRAL;Oficial;29/09/1971;;;;
Cel Av Ref;JOAQUIM DÁRIO D'OLIVEIRA;Cavaleiro;01/10/1974;;;;
Governador (DF);JOAQUIM DOMINGOS RORIZ;Grande-Oficial;08/09/1989;;;;
Doutor;JOAQUIM FERNANDES DOS SANTOS;Cavaleiro;25/09/1981;;;;
Maj Gen (Av);JOAQUIM FERNANDO SOARES DE ALMEIDA;Comendador;;2.753/MD;22/10/2014;;
Governador;JOAQUIM FRANCISCO DE FREITAS CAVALCANTE;Grande-Oficial;18/09/1991;;;;
Cel Av;JOAQUIM GARCIA SUAREZ;Oficial;05/09/1962;;;;
Professor;JOAQUIM GOMES DE NORÕES E SOUZA;Oficial;29/09/1971;;;;
Doutor;JOAQUIM HENRIQUE COUTINHO;Grande-Oficial;09/10/1956;;;;
Ministro 2ª Classe;JOAQUIM IGNÁCIO AMAZONAS MACDOWELL;Comendador;04/10/1976;;;;
Cel Int;JOAQUIM IGNÁCIO LAVIGNE ALBERNAZ;Oficial;15/10/1963;;;;
Senhor;JOAQUIM INOJOSA DE ANDRADE;Cavaleiro;02/10/1978;;;;
Senhor;JOAQUIM J. AMADEO Y PEREZ;Oficial;12/09/1995;;;;
C Alte;JOAQUIM JANUÁRIO DE ARAÚJO COUTINHO NETO;Comendador;19/10/1970;;;;
Gen Div;JOAQUIM JOSÉ DE SOUZA JÚNIOR;Oficial;15/10/1963;;;;
Professor;JOAQUIM JOSÉ LOPES DOS SANTOS NETO;Oficial;16/09/1986;;;;
Mal Ex;JOAQUIM JUSTINO ALVES BASTOS;Grande-Oficial;15/10/1963;;;;
2º Ten QOEA;JOAQUIM LUCAS DE ALMEIDA;Cavaleiro;20/09/1983;;;;
Procurador;JOAQUIM LUSTOSA FILHO;Comendador;01/10/2003;;;;
Doutor;JOAQUIM MACIA;Oficial;15/09/1981;;;;
Gen Ex;JOAQUIM MAIA BRANDÃO JUNIOR;Grande-Oficial;21/10/2013;; ;;
C Alte (Moçambique);JOAQUIM MANGRASSE;Comendador;02/10/2017;;;;
Doutor;JOAQUIM MÁRIO RIBEIRO DE ALBUQUERQUE LIMA;Cavaleiro;15/10/1963;;;;
Cel Dent;JOAQUIM MESQUITA NETO;Oficial;15/10/2018;;;;
Senhor;JOAQUIM PEDRO SALGADO FILHO;Grã-Cruz;06/07/2000;;;;
Deputado Federal;JOAQUIM RUY PAULILO BACELAR;Grande-Oficial;25/09/1979;;;;
Doutor;JOAQUIM SALLES DE OLIVEIRA ITAPARY FILHO;Comendador;01/09/1987;;;;
Desembargador;JOAQUIM SILOS CINTRA;Comendador;15/10/1963;;;;
Ministro de Estado da Defesa;JOAQUIM SILVA E LUNA;Grã-Cruz;26/02/2018;;;;
Cel Aer;JOAQUIM TAVARES LIBANIO;Oficial;23/09/1997;;;;
Ten Brig Ar;JOAQUIM VESPASIANO RAMOS;Grande-Oficial;01/10/1974;;;;
SO QSS BEI;JOAQUIM VIEIRA;Cavaleiro;25/09/1979;;;;
Secretário do Tesouro Nacional;JOAQUIM VIEIRA FERREIRA LEVY;Comendador;07/10/2004;;;;
Senhor (Espanha);JOAQUÍN JOSE BERMÚDEZ BONOSO;Cavaleiro;;3.346/MD;08/09/2017;;
Cel Cav;JOAREZ ALVES PEREIRA JUNIOR;Oficial;21/10/2011;;;;
Cel Med;JOB DE JESUS MENDES DE CASTRO VELOSO;Oficial;12/09/1990;;;;
Gen Bda;JOB LORENA DE SANT'ANNA;Comendador;20/09/1984;;;;
Ten Cel Esp Av;JOCELYN SANTOS DOS REIS;Cavaleiro;22/10/2014;;;;
Ten Cel;JOE R. PATTON;Oficial;08/04/1957;;;;
Cel Av;JOEL AVANCINI ROCHA;Oficial;17/09/1980;;;;
2º Ten Av;JOEL CLAPP;Cavaleiro;17/09/1980;;;;
SO R/R;JOEL DA SILVA;Cavaleiro;26/09/2005;;;;
Senador (PFL-PE);JOEL DE HOLLANDA CORDEIRO;Grande-Oficial;16/09/1998;;;;
Cap QOEA Arm R/1;JOEL ELOI BELO;Cavaleiro;25/09/2008;;;;
SO QSS SGS;JOEL EVANGELISTA SANTORO;Cavaleiro;15/10/2018;;;;
Cel Av;JOEL FARIAS LIMA;Cavaleiro;12/09/1990;;;;
SO QSS BET;JOEL FRANCISCO RABELO MATOS;Cavaleiro;19/10/2010;;;;
SO QSS BMA;JOEL LUIZ MENDES;Cavaleiro;28/09/1999;;;;
1º Ten Av;JOEL LUIZ PEREIRA ROCIO;Cavaleiro;25/09/1979;;;;
Desembargador;JOEL MARCIANO RAUBER;Comendador;18/09/1991;;;;
SO QSS SAD;JOEL MARTINS DA SILVA;Cavaleiro;11/09/1996;;;;
Cel Av R/1;JOEL MEDEIROS FONSECA;Oficial;26/09/2001;;;;
Brig Ar;JOEL MIRANDA;Oficial;16/10/1957;;;;
Brig Ar Ref;JOEL TANG;Comendador;12/09/1990;;;;
1º Ten Av;JOELCI ANDRIETA;Cavaleiro;15/09/1981;;;;
Gen Ex;JOELCIO DE CAMPOS SILVEIRA;Grande-Oficial;28/09/1999;;;;
Ten Brig Ar;JOELMIR CAMPOS DE ARARIPE MACEDO;Grã-Cruz;29/09/1971;;;;
SO QSS SOB;JOELSON FERNANDES DE ANDRADE;Cavaleiro;21/10/2013;; ;;
Cel Int;JOELSON MELLO DOS SANTOS;Oficial;02/10/2017;;;;
Coronel Aviador;JOELSON RODRIGUES DE CARVALHO;Cavaleiro;20/09/2019;;;;
C Alte;JOÉSE DE ANDRADE BANDEIRA LEANDRO;Comendador;21/10/2013;; ;;
C Alte (IM);JOFFRE GONÇALVES DE MAGALHÃES;Comendador;12/09/1990;;;;
Doutor;JOFRAN FREJAT;Comendador;15/09/1982;;;;
Cel PM (MG);JOFRE LELLIS;Oficial;15/10/1963;;;;
Gen Div;JOFRE SAMPAIO;Comendador;17/09/1980;;;;
Senhor (EUA);JOHN ATELA;Oficial;;3.346/MD;08/09/2017;;
Comandante;JOHN CANONGIA LONG;Cavaleiro;04/10/1973;;;;
General;JOHN DALE RYAN;Grande-Oficial;09/10/1972;;;;
Cel Av (USAF);JOHN EDWARD POAST II;Oficial;23/07/1991;;;;
Maj Gen (USAF);JOHN H. BELL;Grande-Oficial;01/06/1965;;;;
Coronel;JOHN H. LACKLEY JR.;Oficial;08/04/1957;;;;
Cel Av (USAF);JOHN HENRY BILLINGS;Oficial;23/04/1980;;;;
Cel Av (USAF);JOHN KELLY GILES;Oficial;17/05/1977;;;;
Cel Av;JOHN KENNEDY GREIFFO DA JUSTA MENESCAL;Oficial;20/10/2015;;;;
Ten Cel;JOHN KENNETH CANNON;Grande-Oficial;07/08/1945;;;;
Secretário;JOHN LUTHER MC LUCAS;Grã-Cruz;28/01/1975;;;;
Senhor;JOHN M. DIXON;Cavaleiro;08/09/1949;;;;
General (USAF);JOHN P. MCCONELL;Grande-Oficial;22/02/1967;;;;
Presidente da AZUL Linhas Aéreas Brasileiras;JOHN PETER RODGERSON;Oficial;;3.210/GM-MD;25/09/2020;;
Cap Av;JOHN RICHARDSON CORDEIRO E SILVA;Cavaleiro;16/09/1986;;;;
Cel Av;JOHN SEVALHO CORÇÃO;Cavaleiro;17/10/2002;;;;
Ten Cel;JOHN WARNER MOORE;Comendador;05/06/1951;;;;
Diretor da Secretaria Nacional de Aviação Civil;JOHN WEBER ROCHA;Cavaleiro;;3.210/GM-MD;25/09/2020;;
Maj Av (USAF) Rf;JOHN WILLIAM BUYERS;Oficial;15/09/1982;;;;
Maj Brig Ar;JOLÉO DA VEIGA CABRAL;Grande-Oficial;13/10/1969;;;;
Juiz;JOMAR ANTONIO CAMARINHA;Oficial;07/10/1994;;;;
Suboficial BCO;JOMAR SALES LISBOA;Cavaleiro;20/09/2019;;;;
Cel Av;JOMARI TOSCANO DANTAS;Oficial;14/10/1992;;;;
Cel Av Ref;JONAS ALVES CORRÊA;Cavaleiro;04/10/1976;;;;
SO QSS SGS;JONAS ANTONIETTI FILHO;Cavaleiro;13/10/2016;;;;
Senhor;JONAS BARBOSA FILHO;Oficial;01/10/2003;;;;
Senhor;JONAS BARCELLOS CORREA FILHO;Oficial;18/09/1991;;;;
Ten Cel Esp Com;JONAS BATISTA DE SOUZA;Cavaleiro;04/10/2007;;;;
Gen Div;JONAS DE MORAIS CORRÊA FILHO;Comendador;12/09/1990;;;;
Gen Ex;JONAS DE MORAIS CORREIA NETO;Grande-Oficial;20/09/1988;;;;
Coronel R/1;JONAS FERREIRA SANT'ANNA;Cavaleiro;26/09/2005;;;;
V Alte (US Navy);JONAS H. INGRAM;Grande-Oficial;20/11/1944;;;;
Senador;JONAS PINHEIRO BORGES;Comendador;23/09/1993;;;;
Senador;JONAS PINHEIRO DA SILVA;Grande-Oficial;26/09/2000;;;;
Cel Med;JONAS RIBAS;Cavaleiro;21/10/2013;; ;;
Capitão QOEA GDS R/1;JONATAS LESSA SANTOS;Cavaleiro;20/10/2015;;;;
C Alte (FN);JONATAS MAGALHÃES PORTO;Comendador;13/10/2016;;;;
Cel Av;JONATHAS PEDROZA SOARES;Oficial;18/09/1991;;;;
Doutor;JONE PERDIGÃO NOGUEIRA;Oficial;26/09/2000;;;;
Comandante;JONES JOÃO VENZON;Cavaleiro;28/09/1999;;;;
SO QSS BCO;JONILTON SOUZA DE MORAIS;Cavaleiro;13/10/2020;;;;
1º Ten QOEA;JONITO CELESTINO DOS ANJOS;Cavaleiro;12/09/1990;;;;
1S (ES);JONY ANDERSON VIANA MATOS;Cavaleiro;19/10/2010;;;;
SO QSS SAD;JONY BONENBERGER;Cavaleiro;15/09/1981;;;;
Brig Gen;JORGE A BORAD;Comendador;09/11/1979;;;;
Gen Bda;JORGE ALBERTO DUARDES BOABAID;Comendador;20/09/2006;;;;
Coronel-de-Aviação;JORGE ALBERTO ESTRELLA VALLADARES;Oficial;21/10/2011;;;;
Cel Dent;JORGE ALBERTO FARINASSI;Cavaleiro;19/10/2012;;;;
Doutor;JORGE ALBERTO JACOBUS FURTADO;Comendador;04/10/1976;;;;
Cel Com (EB);JORGE ALBERTO MACHADO DE SOUZA;Oficial;29/09/2009;;;;
Cel Eng;JORGE ALBERTO PARADELO;Cavaleiro;23/09/1993;;;;
C Alte;JORGE ALBERTO PEREIRA DA SILVA;Comendador;07/10/1994;;;;
Deputado Federal (RS);JORGE ALBERTO PORTANOVA MENDES RIBEIRO FILHO;Grande-Oficial;25/09/2008;;;;
Doutor;JORGE ALBERTO ROMEIRO;Grande-Oficial;17/09/1980;;;;
Juiz;JORGE ALBERTO ROMEIRO JÚNIOR;Oficial;20/09/1985;;;;
Cel Dent;JORGE ALEXANDRE THOMPSON VIEGAS;Cavaleiro;21/10/2011;;;;
Gen Brig;JORGE ALICERA CARRASCO;Comendador;24/09/1981;;;;
Senhor;JORGE ALMEIDA GUIMARÃES;Comendador;19/10/2010;;;;
Gen Bda;JORGE ALVES DE CARVALHO;Comendador;26/09/2000;;;;
Cel Inf;JORGE ANDRE CARNEIRO DA CUNHA;Oficial;02/10/2017;;;;
Comodoro;JORGE ANDRES CRAIG;Oficial;22/12/1955;;;;
CMG (FN);JORGE ÂNGELO MAIA;Comendador;20/09/1985;;;;
Cel Av;JORGE ANTONIO ARAÚJO AMARAL;Oficial;21/10/2011;;;;
Cel Med;JORGE ANTÔNIO DANTAS DE LIMA;Oficial;06/09/2004;;;;
SO QSS BSP;JORGE ANTÔNIO DE ALMEIDA SANTOS;Cavaleiro;17/10/2002;;;;
Ministro-Chefe da Secretaria-Geral da Presidência da República;JORGE ANTONIO DE OLIVEIRA FRANCISCO;Grande-Oficial;20/09/2019;;;;
Secretário (RFB);JORGE ANTÔNIO DEHER RACHID;Comendador;;1.699/MD;15/10/2016;;
Gen Div;JORGE ANTONIO SMICELATO;Grande-Oficial;15/10/2018;;;;
Gen Div;JORGE ARMANDO DE ALMEIDA RIBEIRO;Grande-Oficial;29/09/2009;;;;
Gen Ex;JORGE ARMANDO FELIX;Grande-Oficial;26/09/2001;;;;
C Alte (FN);JORGE ARMANDO NERY SOARES;Comendador;21/10/2011;;;;
Advogado;JORGE ARZABE;Oficial;29/09/2009;;;;
Cel Av;JORGE AUGUSTO BITTENCOURT;Cavaleiro;16/09/1998;;;;
Cel Int;JORGE AUGUSTO CARNEIRO;Cavaleiro;20/09/1984;;;;
SO QSS BMB;JORGE AUGUSTO DA COSTA VIANNA FILHO;Cavaleiro;21/10/2011;;;;
Cap QOEA CTA;JORGE AUGUSTO MARTINS;Cavaleiro;21/10/2013;; ;;
General (Colômbia);JORGE BALLESTEROS RODRIGUEZ;Grande-Oficial;29/09/2009;;;;
Cel Av;JORGE BARBOSA FALCONI;Oficial;19/12/1972;;;;
Doutor;JORGE BARCO VARGAS;Comendador;08/05/1974;;;;
Gen Brig;JORGE BELMONTE ARDILES;Comendador;02/05/1968;;;;
Senhor;JORGE BHERING DE OLIVEIRA MATTOS;Comendador;29/09/1971;;;;
SO QSS BCO;JORGE BISPO DE SANTANA;Cavaleiro;17/10/2002;;;;
Professor;JORGE BOAVENTURA DE SOUZA E SILVA;Oficial;29/09/1971;;;;
Cel Int;JORGE BOTINO;Oficial;26/09/2000;;;;
Maj Brig Med;JORGE BRANDÃO DE SOUZA FILHO;Grande-Oficial;11/09/1996;;;;
Cel R/1;JORGE CALVÁRIO DOS SANTOS;Oficial;29/09/2009;;;;
Cel Int;JORGE CAMARGO JUNIOR;Cavaleiro;21/10/2011;;;;
SO QSS BMA;JORGE CAMPOS ALVES;Cavaleiro;28/09/1999;;;;
Engenheiro;JORGE CAMPOS MAYNARD;Comendador;23/10/1963;;;;
Gen Bda;JORGE CARDOSO MARTINS;Comendador;02/10/2017;;;;
SO QSS SAD;JORGE CARLOS FERNANDES DE TUNES;Cavaleiro;17/10/2002;;;;
Embaixador;JORGE CARLOS RIBEIRO;Grande-Oficial;02/10/1978;;;;
Senhor;JORGE CAVALCANTE;Cavaleiro;23/09/1993;;;;
Ten Cel QOINT R/1;JORGE CAVALCANTE DE SOUZA;Cavaleiro;13/10/2016;;;;
Cel PM (DF);JORGE CEZAR DE ARAUJO CALDAS;Oficial;26/09/2001;;;;
Coronel (AV);JORGE CLAVERO MAÑUECO;Oficial;;2.267/MD;21/10/2015;;
Maj Brig Ar R/1;JORGE CRUZ DE SOUZA E MELLO;Grande-Oficial;04/10/2007;;;;
Senhor;JORGE CURI;Comendador;17/09/1980;;;;
Doutor;JORGE DA MOTTA E SILVA;Oficial;04/10/1976;;;;
Cel Av;JORGE DA SILVA;Oficial;01/09/1987;;;;
SO QSS BMA;JORGE DA SILVA AMARAL;Cavaleiro;23/09/1997;;;;
Cel Ex;JORGE DA SILVA CASTRO;Oficial;01/10/1974;;;;
Alte;JORGE DA SILVA LEITE;Grande-Oficial;14/10/1958;;;;
Professor;JORGE DE ABREU COUTINHO;Comendador;20/09/1988;;;;
Maj Brig Ar;JORGE DE ARRUDA PROENÇA;Oficial;07/10/1952;;;;
Professor;JORGE DE AUGUSTINIS OLIVEIRA;Oficial;19/10/2010;;;;
Senhor;JORGE DE BRITO PINHEIRO;Cavaleiro;15/09/1982;;;;
Cel Farm;JORGE DE CARVALHO;Cavaleiro;15/09/1982;;;;
Embaixador;JORGE DE CARVALHO E SILVA;Grande-Oficial;09/10/1972;;;;
SO QSS SAD;JORGE DE CASTRO;Cavaleiro;26/09/2001;;;;
Ten Cel Esp Com;JORGE DE FARIA DANTAS;Cavaleiro;04/10/1973;;;;
Deputado Federal (SP);JORGE DE FARIA MALULY;Grande-Oficial;29/09/2009;;;;
Cel R/1;JORGE DE JESUS GIL;Comendador;29/09/2009;;;;
Advogado;JORGE DE OLIVEIRA MUSSURI;Oficial;25/09/2008;;;;
Ministro;JORGE DE SÁ ALMEIDA;Comendador;09/10/1972;;;;
Cel Int;JORGE DE SOUSA PANTALEÃO;Oficial;26/09/2001;;;;
Gen Ar (Peru);JORGE DEL CARPIO RIVERA;Grande-Oficial;26/09/2001;;;;
Ministro;JORGE D'ESCRAGNOLE TAUNAY;Comendador;29/09/1971;;;;
Embaixador;JORGE D'ESCRAGNOLLE TAUNAY FILHO;Grande-Oficial;19/10/2010;;;;
Alte;JORGE DO PAÇO MATTOSO MAIA;Grande-Oficial;16/10/1957;;;;
SO QSS BSP;JORGE DOMINGOS DIAS DOS SANTOS;Cavaleiro;19/10/2012;;;;
Cel Av;JORGE DONETTO JUNIOR;Cavaleiro;02/10/2017;;;;
SO QSS BMA;JORGE DOS SANTOS BOAVISTA;Cavaleiro;17/10/1966;;;;
Cel Int;JORGE DOS SANTOS FERREIRA;Oficial;18/09/1991;;;;
Comodoro;JORGE EDUARDO ADEN;Oficial;23/09/1993;;;;
Médico;JORGE EDUARDO ANDRADE NEGRI;Oficial; ;2.955/MD;22/10/2013;;
Cel Av R/1;JORGE EDUARDO RETTORE;Comendador;13/10/2016;;;;
Gen Bda;JORGE ERNESTO PINTO FRAXE;Comendador;25/09/2008;;;;
Cel Av R/1;JORGE ESTEVES;Cavaleiro;04/10/2007;;;;
Cel Av (Portugal);JORGE ESTEVES PEREIRA NUNES DOS SANTOS;Oficial;29/09/2009;;;;
Presidente da CEF;JORGE FONTES HEREDA;Grande-Oficial;22/10/2014;;;;
CMG;JORGE FRANÇA;Oficial;23/09/1997;;;;
Doutor;JORGE FRANCISCO MURAD JÚNIOR;Comendador;20/09/1985;;;;
Brig Int;JORGE FRANCO BITTENCOURT;Comendador;25/09/1979;;;;
Cel Av;JORGE FREDERICO BINS;Oficial;01/10/1974;;;;
Gen Ex;JORGE FREDERICO MACHADO DE SANT'ANNA;Grande-Oficial;16/09/1986;;;;
Senhor;JORGE FREDERICO MESSAS BITTAR;Oficial;12/09/1995;;;;
Deputado;JORGE FURTADO LEITE;Comendador;15/10/1963;;;;
Comandante;JORGE GABRIEL ISAAC FILHO;Cavaleiro;23/09/1993;;;;
Ten Brig Ar;JORGE GODINHO BARRETO NERY;Grã-Cruz;25/09/2008;;;;
Cel Int;JORGE GONÇALVES AMORIM;Oficial;19/10/2010;;;;
General de Força Aérea;JORGE GONZALO TERCEROS LARA;Grande-Oficial;20/09/2019;;;;
Ministro de Estado;JORGE HAGE SOBRINHO;Grande-Oficial;21/10/2011;;;;
Maj Av;JORGE HENRIQUE DE SOUZA;Oficial;16/09/1986;;;;
Advogado;JORGE HENRIQUE DUMONT DODSWORTH;Comendador;;2.819/MD;23/10/2012;;
Jornalista;JORGE HONÓRIO FERREIRA NETO;Cavaleiro;28/09/1999;;;;
Brigadeiro-General (Equador);JORGE HUMBERTO ANDRADE LARA;Comendador;26/09/2005;;;;
Coronel Aviador;JORGE HUMBERTO VARGAS RAINHO;Cavaleiro;20/09/2019;;;;
1º Ten QOEA;JORGE IVAN SOARES;Cavaleiro;20/09/1983;;;;
Cel Av;JORGE JAIME MOREIRA VAZ FERREIRA;Cavaleiro;26/09/2000;;;;
SO QSS BEV;JORGE JANNUZZI;Cavaleiro;16/09/1998;;;;
Cel Av;JORGE JORDAN MERCADO;Comendador;03/01/1955;;;;
Ten Brig Ar;JORGE JOSÉ DE CARVALHO;Grã-Cruz;20/09/1984;;;;
1º Secretário;JORGE JOSÉ FRANTZ RAMOS;Oficial;11/09/1996;;;;
Senador;JORGE KALUME;Comendador;17/09/1980;;;;
Maj Brig Ar;JORGE KERSUL FILHO;Grande-Oficial;19/10/2010;;;;
Senhor;JORGE KFURI;Cavaleiro;16/10/1957;;;;
Senador;JORGE KONDER BORNHAUSEN;Grande-Oficial;17/09/1980;;;;
Engenheiro;JORGE KUSHIKAWA;Cavaleiro;;3.346/MD;08/09/2017;;
Brig Gen;JORGE LEONARDO PEÑA TERAN;Grande-Oficial;17/09/1980;;;;
SO QSS BCO;JORGE LUIS CLEMENTE DE MEDEIROS;Cavaleiro;02/10/2017;;;;
Cel Av;JORGE LUIS DE OLIVEIRA SAMPAIO;Cavaleiro;15/10/2018;;;;
Cel Int (EB);JORGE LUIZ ALVES;Oficial;19/10/2010;;;;
Brig Ar;JORGE LUIZ ALVES DE BARROS SANTOS;Comendador;19/10/2010;;;;
Senhor;JORGE LUIZ ANDRADE CORDEIRO;Cavaleiro;26/09/2005;;;;
SO QSS SAD;JORGE LUIZ BARRETO DE OLIVEIRA;Cavaleiro;19/10/2010;;;;
Cel Av;JORGE LUIZ BRITO VELOZO;Cavaleiro;26/09/2000;;;;
Advogado da União (CJU/RS);JORGE LUIZ CASTILHOS GARCIA;Cavaleiro;;2.753/MD;22/10/2014;;
Maj Brig Eng;JORGE LUIZ CERQUEIRA FERNANDES;Grande-Oficial;13/10/2020;;;;
1S QSS SAD;JORGE LUIZ COSTA ORTIZ;Cavaleiro;23/09/1993;;;;
Cel Int R/1;JORGE LUIZ DA LUZ MORAES;Cavaleiro;29/09/2009;;;;
SO QSS BMA;JORGE LUIZ DA MATTA SALES SÁ;Cavaleiro;12/09/1995;;;;
Cel Av;JORGE LUIZ DA SILVA PEREIRA;Oficial;26/09/2005;;;;
Corregedor-Geral do MPM;JORGE LUIZ DODARO;Comendador;;2.818/MD;22/10/2012;;
SO BET;JORGE LUIZ EUGÊNIO DE LIMA;Cavaleiro;20/10/2015;;;;
Doutor;JORGE LUIZ FONTOURA NOGUEIRA;Oficial;01/10/2003;;;;
Cel Av;JORGE LUIZ FRANÇA ALVES;Cavaleiro;19/10/2012;;;;
Cel Av;JORGE LUIZ FÜLÖP;Oficial;06/09/2004;;;;
SO QSS BMB;JORGE LUIZ KIRSTEN;Cavaleiro;26/09/2001;;;;
SO QSS BMA;JORGE LUIZ LOPES DA SILVA;Cavaleiro;19/10/2010;;;;
Cel Int;JORGE LUIZ MANFROI;Oficial;20/09/2006;;;;
SO QSS SAD;JORGE LUIZ MENEZES CARDOSO;Cavaleiro;13/10/2016;;;;
Brig Int R/1;JORGE LUIZ MICHELIN;Comendador;26/09/2005;;;;
Coordenador da Procuradoria Geral de Pernambuco;JORGE LUIZ NOGUEIRA DE ABREU;Cavaleiro;;3.210/GM-MD;25/09/2020;;
SO QSS SEL;JORGE LUIZ PEREIRA;Cavaleiro;19/10/2010;;;;
SO QSS BSP;JORGE LUIZ PEREIRA DOS SANTOS;Cavaleiro;17/10/2002;;;;
Cel Farm;JORGE LUIZ PETRY;Cavaleiro;19/10/2010;;;;
Cel Av;JORGE LUIZ SCHWERZ;Oficial;02/10/2017;;;;
2º Ten Av;JORGE LUIZ VIEIRA DE SOUZA;Cavaleiro;25/09/1979;;;;
SO QSS BET;JORGE LUIZ XAVIER BRITTO;Cavaleiro;04/10/2007;;;;
Gen Pil Av;JORGE MANUEL BROCHADO DE MIRANDA;Grande-Oficial;14/06/1988;;;;
Cel Av;JORGE MARCELO MARTINS DA SILVA;Cavaleiro;13/10/2020;;;;
Juiz-Auditor Substituto;JORGE MARCOLINO DOS SANTOS;Oficial; ;2.955/MD;22/10/2013;;
SO QSS SEL;JORGE MARCOS CHELOTTI ADÃO;Cavaleiro;13/10/2020;;;;
SO BMA;JORGE MARCOS SALAMAN;Cavaleiro;20/10/2015;;;;
Ten Pil Av;JORGE MARIA TAVARES ALVES;Cavaleiro;08/09/1955;;;;
Maj Brig Med;JORGE MARONES DE GUSMÃO;Grande-Oficial;21/10/2011;;;;
Cel Av;JORGE MARQUES DE AZEVEDO;Oficial;16/10/1957;;;;
Coronel Aviador;JORGE MARQUES DE CAMPOS JÚNIOR;Cavaleiro;20/09/2019;;;;
Cel Int;JORGE MARTINS BARBOSA;Oficial;22/10/2014;;;;
Cel Av;JORGE MAURICIO MOTTA;Cavaleiro;15/10/2018;;;;
C Alte (FN);JORGE MENDES BENTINHO;Comendador;04/10/2007;;;;
Doutor;JORGE MICHIREFE;Cavaleiro;20/09/1985;;;;
Brig Gen;JORGE MIGUEL MARTINEZ ZUVIRIA;Grande-Oficial;24/09/1969;;;;
Cel Av;JORGE MIGUEL QUIROZ BARTON;Oficial;26/11/1984;;;;
Empresário;JORGE MIGUEL SAMEK;Grande-Oficial;30/09/2005;;;;
Doutor;JORGE MONIZ;Cavaleiro;02/10/1978;;;;
Cel Av;JORGE MONTEIRO LOPES JÚNIOR;Cavaleiro;15/10/2018;;;;
Maj Av;JORGE MOREIRA LIMA;Oficial;12/10/1964;;;;
C Alte (MD);JORGE NACIF;Comendador;12/09/1990;;;;
Cel Med;JORGE NASSARO;Oficial;26/09/2001;;;;
Governador (AC);JORGE NEY VIANA MACEDO NEVES;Grande-Oficial;01/10/2003;;;;
Cap QOEA;JORGE NUNES DE SOUZA;Cavaleiro;14/10/1992;;;;
Cel Inf;JORGE ORION PEREIRA OLIVEIRA;Oficial;21/10/2011;;;;
Ten Cel Esp Fot;JORGE PACHECO SILVA;Cavaleiro;28/09/1999;;;;
Cel Av R/1;JORGE PAGÉS;Comendador;21/10/2011;;;;
Brig Gen (Av);JORGE PATRICIO MEJIA SALINAS;Grande-Oficial;22/10/2014;;;;
1º Ten Aer;JORGE PEDROSA DA SILVA;Cavaleiro;17/10/1960;;;;
Cel ESP ARM;JORGE PEIXOTO JUNIOR;Cavaleiro;15/10/2018;;;;
CMG;JORGE PONSATI DA SILVA PEREIRA;Oficial;25/09/1981;;;;
Cel Int Ref;JORGE RANGEL DE ALMEIDA;Comendador;21/10/2011;;;;
Major-Brigadeiro Médico;JORGE REBELLO FERREIRA;Grande-Oficial;20/10/2015;;;;
Cel Com;JORGE RICARDO AUREO FERREIRA;Oficial;20/09/2006;;;;
Deputado Federal (RJ);JORGE RICARDO BITTAR;Grande-Oficial;01/10/2003;;;;
SO QSS BMA;JORGE ROBERTO CORRÊA LOPES;Cavaleiro;28/09/1999;;;;
Cel Int;JORGE ROBERTO DE MENDONÇA FERRAZ;Oficial;29/09/2009;;;;
Cel Inf (Ex);JORGE ROBERTO LOPES FOSSI;Oficial;22/10/2014;;;;
Gen Av;JORGE ROBLES MELLA;Grande-Oficial;21/10/2013;; ;;
Brig Gen;JORGE RODRIGO IZURIETA ITURRALDE;Grande-Oficial;09/10/1972;;;;
General-do-Ar;JORGE ROJAS ÁVILA;Grande-Oficial;21/10/2011;;;;
Ministro;JORGE RONALDO LEMOS BARBOSA;Comendador;25/09/1981;;;;
Gen Ex;JORGE SÁ FREIRE DE PINHO;Grande-Oficial;15/09/1982;;;;
